Etiqueta,Aspect_Ratio,Densidad
2,0.9067,0.4669
2,0.9062,0.4704
2,0.9016,0.4666
2,0.8918,0.4663
2,0.8964,0.4664
2,0.901,0.4692
2,0.901,0.4679
2,0.8958,0.4707
2,0.9016,0.4636
2,0.8912,0.4679
2,0.8912,0.4698
2,0.8969,0.4645
2,0.8964,0.4672
2,0.9058,0.4716
2,0.901,0.4723
2,0.901,0.4736
2,0.9067,0.4652
2,0.9062,0.4724
2,0.9021,0.4672
2,0.8969,0.4705
2,0.9016,0.4748
2,0.9072,0.467
2,0.9026,0.4651
2,0.9072,0.4673
2,0.9026,0.4658
2,0.9072,0.4694
2,0.9124,0.466
2,0.9072,0.4689
2,0.8974,0.4686
2,0.898,0.4637
2,0.9072,0.4708
2,0.9021,0.4738
2,0.8923,0.4724
2,0.8923,0.4719
2,0.8923,0.4698
2,0.9016,0.4763
2,0.8969,0.4733
2,0.8912,0.4801
2,0.8912,0.4825
2,0.8724,0.4794
2,0.8718,0.4884
2,0.868,0.4822
2,0.8636,0.4819
2,0.8643,0.481
2,0.87,0.4754
2,0.87,0.4774
2,0.8607,0.4788
2,0.8515,0.482
2,0.8507,0.484
2,0.8465,0.4889
2,0.8374,0.4889
2,0.8325,0.494
2,0.8325,0.4939
2,0.8195,0.494
2,0.8195,0.494
2,0.8195,0.5018
2,0.8116,0.4986
2,0.8029,0.5045
2,0.8038,0.5054
2,0.7877,0.5076
2,0.783,0.5118
2,0.7546,0.5172
2,0.7523,0.5121
2,0.7593,0.5174
2,0.7489,0.5151
2,0.7455,0.5111
2,0.7523,0.5064
2,0.7309,0.5168
2,0.7366,0.5152
2,0.7313,0.5081
2,0.6987,0.5251
2,0.7205,0.5156
2,0.7056,0.5232
2,0.7403,0.4985
2,0.7403,0.4985
2,0.7112,0.5153
2,0.7371,0.499
2,0.7522,0.4989
2,0.7304,0.5127
2,0.7446,0.5019
2,0.7273,0.5158
2,0.7359,0.509
2,0.7371,0.5071
2,0.7261,0.525
2,0.7261,0.525
2,0.7348,0.5197
2,0.713,0.5343
2,0.7249,0.532
2,0.7401,0.5276
2,0.7456,0.5198
2,0.7489,0.5174
2,0.7621,0.5066
2,0.7733,0.5099
2,0.7758,0.5162
2,0.7919,0.5083
2,0.8082,0.5016
2,0.8241,0.5003
2,0.8287,0.4925
2,0.8411,0.4895
2,0.8458,0.4813
2,0.8451,0.4815
2,0.8592,0.4668
2,0.8768,0.4664
2,0.9122,0.4717
2,0.94,0.4796
2,0.9694,0.4852
2,0.9846,0.4804
2,1.0052,0.4924
2,1.0051,0.4824
2,1.026,0.4852
2,1.0104,0.4886
2,0.9897,0.4927
2,0.9897,0.4938
2,0.9793,0.5045
2,1.0259,0.4782
2,0.9795,0.4893
2,1.0104,0.4848
2,1.0311,0.4747
2,0.9897,0.4861
2,1.0312,0.4786
2,0.9948,0.4877
2,0.9897,0.4852
2,1.0,0.4851
2,1.0209,0.4806
2,0.9897,0.4809
2,1.0259,0.4699
2,1.026,0.4734
2,1.026,0.4695
2,1.0311,0.4637
2,1.0052,0.4844
2,1.0052,0.4718
2,1.026,0.4754
2,0.9949,0.4729
2,0.9948,0.4768
2,1.0363,0.4602
2,1.0204,0.4576
2,1.0258,0.4649
2,1.0102,0.4653
2,1.0,0.465
2,1.0302,0.4446
2,1.01,0.4516
2,1.0201,0.4528
2,1.0199,0.4439
2,1.0306,0.4597
2,1.0152,0.4668
2,1.0102,0.4724
2,1.0206,0.4762
2,1.0103,0.4809
2,1.0155,0.4763
2,1.0103,0.4803
2,1.026,0.4796
2,1.0052,0.493
2,0.9948,0.4909
2,0.9896,0.489
2,0.9794,0.4849
2,1.0,0.4806
2,0.9895,0.4951
2,0.9635,0.4973
2,0.9536,0.488
2,0.9689,0.4842
2,0.9433,0.4889
2,0.9275,0.4997
2,0.9171,0.5006
2,0.8969,0.5012
2,0.8969,0.5002
2,0.9175,0.4883
2,0.9077,0.4763
2,0.8769,0.4909
2,0.8763,0.4989
2,0.8763,0.486
2,0.8608,0.4849
2,0.8469,0.4837
2,0.8191,0.4754
2,0.8316,0.4688
2,0.8214,0.4697
2,0.804,0.4514
2,0.798,0.4497
2,0.797,0.4476
2,0.7806,0.4439
2,0.7739,0.4343
2,0.7817,0.4319
2,0.7727,0.4234
2,0.7638,0.417
2,0.7576,0.4157
2,0.7449,0.4264
2,0.7333,0.428
2,0.7245,0.4226
2,0.7005,0.4283
2,0.6919,0.4252
2,0.7041,0.4265
2,0.6869,0.4257
2,0.6888,0.423
2,0.6872,0.4337
2,0.6735,0.4324
2,0.6616,0.4376
2,0.6566,0.4352
2,0.6515,0.4464
2,0.6599,0.4513
2,0.6599,0.457
2,0.6735,0.4114
2,0.6718,0.4282
2,0.6907,0.4358
2,0.7347,0.4291
2,0.7551,0.4282
2,0.7513,0.4504
2,0.7857,0.4484
2,0.797,0.4423
2,0.797,0.459
2,0.8214,0.4425
2,0.8351,0.4509
2,0.8513,0.4534
2,0.8622,0.4626
2,0.9062,0.4747
2,0.9067,0.483
2,0.9179,0.478
2,0.9474,0.4923
2,0.9534,0.4755
2,0.9526,0.4808
2,0.9583,0.4694
2,0.9529,0.4804
2,0.9634,0.4765
2,0.9684,0.4793
2,0.9684,0.481
2,0.9737,0.4755
2,0.9485,0.4711
2,0.9581,0.4771
2,0.9839,0.4756
2,0.9581,0.4673
2,0.9735,0.47
2,0.9368,0.482
2,0.9471,0.481
2,0.963,0.471
2,0.9424,0.4716
2,0.9574,0.4822
2,0.9227,0.4698
2,0.9036,0.4661
2,0.899,0.4645
2,0.899,0.4645
2,0.867,0.459
2,0.8621,0.4647
2,0.8585,0.4607
2,0.8529,0.4679
2,0.8398,0.4671
2,0.8357,0.4656
2,0.8309,0.4664
2,0.8261,0.4696
2,0.835,0.4653
2,0.839,0.4662
2,0.839,0.4662
2,0.8522,0.4683
2,0.8522,0.4658
2,0.8557,0.4726
2,0.8706,0.4588
2,0.8969,0.4738
2,0.9255,0.4828
2,0.9206,0.4762
2,0.9158,0.4669
2,0.9301,0.4793
2,0.9251,0.4748
2,0.9251,0.4748
2,0.9037,0.4775
2,0.8973,0.4708
2,0.8919,0.4613
2,0.8907,0.4658
2,0.875,0.4493
2,0.8833,0.4499
2,0.8541,0.4332
2,0.882,0.443
2,0.8764,0.4388
2,0.8764,0.4388
2,0.8743,0.442
2,0.8851,0.4304
2,0.8588,0.4317
2,0.8492,0.4282
2,0.8492,0.4256
2,0.8508,0.4268
2,0.8596,0.4373
2,0.8603,0.4427
2,0.8667,0.4474
2,0.8667,0.4474
2,0.8983,0.4762
2,0.8939,0.4783
2,0.9209,0.4833
2,0.9218,0.4793
2,0.9101,0.495
2,0.9261,0.5008
2,0.9213,0.492
2,0.9205,0.5038
2,0.9322,0.4952
2,0.9322,0.4952
2,0.9314,0.4997
2,0.9425,0.4984
2,0.931,0.5003
2,0.9148,0.4992
2,0.904,0.4976
2,0.8989,0.4967
2,0.904,0.4988
2,0.9148,0.5021
2,0.9143,0.5057
2,0.9143,0.5057
2,0.8983,0.5046
2,0.8939,0.5003
2,0.8876,0.5085
2,0.8876,0.5055
2,0.8667,0.5059
2,0.8603,0.5166
2,0.8556,0.5181
2,0.8508,0.5199
2,0.847,0.5134
2,0.847,0.5134
2,0.8478,0.5131
2,0.8396,0.5076
2,0.836,0.504
2,0.8541,0.5131
2,0.8298,0.514
2,0.8263,0.5082
2,0.8421,0.5008
2,0.8717,0.5021
2,0.8723,0.4995
2,0.8723,0.4995
2,0.8528,0.4759
2,0.8586,0.466
2,0.8636,0.4653
2,0.8636,0.4655
2,0.868,0.4697
2,0.8776,0.4664
2,0.8424,0.4516
2,0.8769,0.4636
2,0.8769,0.4572
2,0.8769,0.4572
2,0.85,0.4435
2,0.85,0.4443
2,0.8724,0.4518
2,0.8854,0.4557
2,0.868,0.4429
2,0.8724,0.4396
2,0.886,0.442
2,0.8593,0.4266
2,0.8711,0.4346
2,0.8711,0.4346
2,0.8756,0.4367
2,0.8889,0.4476
2,0.9135,0.4521
2,0.8698,0.4429
2,0.933,0.4752
2,0.9432,0.4896
2,0.9379,0.4926
2,0.9222,0.4846
2,0.9326,0.4889
2,0.9486,0.4975
2,0.9489,0.4905
2,0.9543,0.4909
2,0.9278,0.4743
2,0.9711,0.4857
2,0.9435,0.4758
2,0.9438,0.4683
2,0.96,0.4735
2,0.9337,0.4562
2,0.9882,0.4815
2,0.9545,0.4624
2,1.0,0.4809
2,0.9548,0.4491
2,0.9659,0.4463
2,0.9551,0.4441
2,0.9661,0.4429
2,0.9942,0.4618
2,0.9655,0.461
2,0.9767,0.4668
2,1.012,0.4772
2,0.9941,0.4678
2,0.9941,0.4763
2,0.9769,0.4627
2,0.9713,0.4665
2,0.9598,0.4699
2,0.9655,0.4718
2,0.9382,0.4679
2,0.9543,0.4814
2,0.9486,0.4889
2,0.9222,0.4756
2,0.9371,0.5005
2,0.9157,0.4977
2,0.9257,0.5104
2,0.9257,0.5078
2,0.9143,0.5105
2,0.9091,0.5024
2,0.8883,0.4922
2,0.8827,0.4884
2,0.9075,0.4991
2,0.8674,0.4629
2,0.8715,0.4593
2,0.8764,0.4541
2,0.8764,0.4519
2,0.9123,0.4633
2,0.8667,0.4414
2,0.8667,0.448
2,0.8722,0.4496
2,0.8722,0.4547
2,0.8771,0.476
2,0.8771,0.4856
2,0.8827,0.4862
2,0.9133,0.5112
2,0.9244,0.5203
2,0.908,0.5191
2,0.9075,0.5311
2,0.892,0.5212
2,0.8708,0.5221
2,0.8547,0.5248
2,0.8306,0.5174
2,0.8531,0.535
2,0.8162,0.5158
2,0.8065,0.5133
2,0.8054,0.5186
2,0.8108,0.5147
2,0.8098,0.5218
2,0.8207,0.515
2,0.8118,0.5058
2,0.8118,0.5112
2,0.8216,0.51
2,0.8251,0.5172
2,0.8226,0.5064
2,0.827,0.5103
2,0.8547,0.5251
2,0.8708,0.5244
2,0.8827,0.5157
2,0.8729,0.5173
2,0.8895,0.5119
2,0.8956,0.504
2,0.9157,0.5194
2,0.9111,0.5127
2,0.8865,0.5029
